Account ID,Current Season Ticket Holder?,Has 2021 Season Tickets,Had 2019 Season Tickets,Had 2018 Season Tickets,Had 2017 Season Tickets
TWN1005,NO,0,1,0,0
TWN1005584,Yes,1,1,1,1
TWN1019118,Yes,1,1,1,1
TWN1022360,NO,0,0,0,1
TWN1025177,NO,0,0,0,0
TWN1028,NO,0,0,1,1
TWN1028245,Yes,1,1,0,0
TWN1028260,NO,0,0,0,1
TWN1028276,Yes,1,1,1,1
TWN1028282,NO,0,0,0,1
TWN1028297,NO,0,0,0,0
TWN1028341,NO,0,0,0,1
TWN1028362,Yes,1,0,0,0
TWN1028375,NO,0,0,1,1
TWN1028425,NO,0,1,1,0
TWN1028449,Yes,1,0,0,0
TWN1028470,NO,0,0,1,1
TWN1028472,NO,0,0,1,1
TWN1028486,NO,0,0,1,1
TWN1028520,NO,0,0,1,1
TWN1028535,NO,0,0,0,0
TWN1028571,NO,0,0,1,1
TWN1028577,NO,0,0,0,1
TWN1028591,Yes,1,0,0,0
TWN1028597,Yes,1,0,0,0
TWN1028625,NO,0,1,0,0
TWN1028645,Yes,1,1,0,0
TWN1028696,NO,0,0,0,1
TWN1028705,NO,0,0,1,1
TWN1028722,NO,0,0,0,0
TWN1028732,NO,0,0,1,0
TWN1028886,NO,0,0,1,0
TWN1028893,Yes,1,1,1,1
TWN1029049,NO,0,1,0,0
TWN1029067,NO,0,0,1,0
TWN1029140,NO,0,0,0,0
TWN1029171,NO,0,0,1,1
TWN1029222,NO,0,0,0,1
TWN1029248,NO,0,0,1,1
TWN1029258,NO,0,0,0,0
TWN1029272,NO,0,1,0,0
TWN1029283,Yes,1,1,1,1
TWN1029334,NO,0,0,0,0
TWN1029339,NO,0,1,0,0
TWN1029461,Yes,1,1,1,1
TWN1029515,NO,0,1,1,0
TWN1029522,NO,0,0,0,1
TWN1029578,Yes,1,0,0,0
TWN1029610,NO,0,1,0,0
TWN1030592,NO,0,0,1,1
TWN1030808,Yes,1,0,0,0
TWN1030825,Yes,1,1,1,1
TWN1030854,Yes,1,1,1,1
TWN1031002,Yes,1,1,1,1
TWN1031060,NO,0,0,0,1
TWN1031214,NO,0,0,1,1
TWN1031466,NO,0,0,0,1
TWN1031469,Yes,1,1,0,0
TWN1031658,Yes,1,1,0,0
TWN1031672,NO,0,0,1,1
TWN1031780,NO,0,0,1,1
TWN1031984,NO,0,1,0,0
TWN1032019,Yes,1,1,1,1
TWN1032261,NO,0,1,1,0
TWN1032589,Yes,1,1,1,1
TWN1032708,NO,0,0,1,1
TWN1032744,NO,0,1,0,0
TWN1032874,NO,0,0,0,0
TWN1032887,NO,0,0,1,1
TWN1032925,Yes,1,1,0,0
TWN1032928,Yes,1,1,1,1
TWN1032957,NO,0,0,1,0
TWN1032985,NO,0,1,0,0
TWN1033497,Yes,1,1,0,0
TWN1033503,NO,0,1,1,1
TWN1033659,NO,0,0,0,0
TWN1033690,NO,0,0,0,1
TWN1034268,Yes,1,0,0,0
TWN1034497,NO,0,1,1,0
TWN1034990,NO,0,0,0,1
TWN1035052,NO,0,0,0,0
TWN1035139,NO,0,0,0,0
TWN1035260,NO,0,1,0,0
TWN1035362,Yes,1,0,0,0
TWN1035533,NO,0,0,1,0
TWN1035677,NO,0,0,1,1
TWN1035897,NO,0,1,0,0
TWN1036111,NO,0,0,1,1
TWN1036294,NO,0,1,0,0
TWN1036308,Yes,1,1,1,1
TWN1036318,Yes,1,0,0,0
TWN1036796,Yes,1,0,0,0
TWN1037373,NO,0,1,0,0
TWN1038148,Yes,1,1,1,1
TWN1038151,Yes,1,1,1,1
TWN1038192,NO,0,1,0,0
TWN1038418,NO,0,1,0,0
TWN1038560,Yes,1,1,1,1
TWN1038778,Yes,1,0,0,0
TWN1038916,Yes,1,1,1,1
TWN1039338,Yes,1,0,0,0
TWN1040811,NO,0,1,0,0
TWN1041778,NO,0,0,0,0
TWN1041826,NO,0,1,0,0
TWN1041924,NO,0,0,0,1
TWN1041965,NO,0,0,0,0
TWN1042824,NO,0,0,1,1
TWN1043996,Yes,1,0,0,0
TWN1044101,Yes,1,1,0,0
TWN1044523,Yes,1,0,0,0
TWN1044622,NO,0,1,1,0
TWN1044624,NO,0,0,0,0
TWN1044675,NO,0,0,1,1
TWN1045411,NO,0,0,0,1
TWN1045515,NO,0,0,0,0
TWN1047990,NO,0,0,0,1
TWN1048,NO,0,0,0,1
TWN1048391,NO,0,0,0,1
TWN1048564,NO,0,1,1,0
TWN1050857,NO,0,0,0,0
TWN1051241,Yes,1,0,0,0
TWN1052799,NO,0,0,0,0
TWN1054502,NO,0,1,0,0
TWN1054527,NO,0,0,0,0
TWN1055666,NO,0,1,1,0
TWN1056,NO,0,1,0,0
TWN1056000,Yes,1,1,1,1
TWN1056850,Yes,1,0,0,0
TWN1059116,NO,0,1,0,0
TWN1060228,NO,0,0,1,0
TWN1062830,NO,0,0,0,0
TWN1067495,NO,0,0,0,0
TWN107069,NO,0,0,0,0
TWN1074042,Yes,1,1,0,0
TWN1074546,Yes,1,1,1,1
TWN1074648,Yes,1,0,0,0
TWN1076694,Yes,1,0,0,0
TWN1077780,Yes,1,1,1,1
TWN1081,NO,0,0,0,0
TWN1082888,NO,0,1,1,0
TWN1083715,NO,0,1,0,0
TWN1090778,Yes,1,1,1,1
TWN1092,Yes,1,1,1,1
TWN1095430,NO,0,0,1,0
TWN1096,NO,0,0,0,0
TWN1100886,NO,0,0,0,1
TWN1102229,NO,0,0,0,1
TWN1103355,Yes,1,1,1,1
TWN111066,NO,0,0,1,1
TWN1110872,Yes,1,0,0,0
TWN1114858,NO,0,1,0,0
TWN1114880,NO,0,1,0,0
TWN1114882,NO,0,0,0,1
TWN1114887,NO,0,0,0,1
TWN1114947,NO,0,1,1,0
TWN1114965,NO,0,0,0,1
TWN1115018,Yes,1,1,0,0
TWN1115039,NO,0,0,0,0
TWN1115087,Yes,1,0,0,0
TWN1115112,Yes,1,1,1,1
TWN1115114,Yes,1,0,0,0
TWN1115126,Yes,1,1,1,1
TWN1115130,NO,0,0,1,0
TWN1115161,Yes,1,1,1,1
TWN1115180,Yes,1,0,0,0
TWN1115205,Yes,1,1,1,1
TWN1115206,Yes,1,1,1,1
TWN1115227,Yes,1,1,1,1
TWN1115252,Yes,1,1,1,1
TWN1115257,NO,0,0,1,0
TWN1115259,NO,0,0,0,1
TWN1115268,NO,0,0,0,1
TWN1115274,NO,0,0,0,1
TWN1115277,NO,0,0,0,0
TWN1115292,Yes,1,1,1,1
TWN1115306,NO,0,0,1,0
TWN1115310,NO,0,1,1,1
TWN1115314,NO,0,0,0,1
TWN1115321,NO,0,0,1,0
TWN1115334,Yes,1,0,0,0
TWN1115384,NO,0,0,0,1
TWN1115402,NO,0,0,1,0
TWN1115417,Yes,1,0,0,0
TWN1115421,Yes,1,1,1,1
TWN1115429,NO,0,0,1,1
TWN1115435,Yes,1,0,0,0
TWN1115447,NO,0,0,1,0
TWN1115456,Yes,1,1,1,1
TWN1115465,NO,0,0,0,0
TWN1115470,NO,0,0,1,1
TWN1115481,NO,0,0,0,0
TWN1115495,NO,0,0,1,1
TWN1115526,NO,0,0,0,1
TWN1115533,Yes,1,1,1,1
TWN1115562,Yes,1,0,0,0
TWN1115579,NO,0,0,1,1
TWN1115581,Yes,1,1,0,0
TWN1115613,NO,0,1,1,0
TWN1115619,NO,0,0,1,1
TWN1115629,NO,0,0,0,0
TWN1115694,Yes,1,0,0,0
